file,split,pattern,retention,seed,channel,unit,removed,mae,rmse,gaps,absolute_error_sum,squared_error_sum
V300_Case4_CutFre20.xls,train,random,0.8,0,uplift,m,3063,2.5667518103765295e-06,3.843189686812486e-06,2453,0.00786196079518331,4.5240837645501335e-08
V300_Case4_CutFre20.xls,train,random,0.6,0,acceleration,m/s^2,6125,0.02874165315528762,0.058868826983322714,3709,176.04262557613666,21.226425091153352
V300_Case4_CutFre20.xls,train,random,0.6,0,uplift,m,6125,4.545091168715487e-06,8.226851636820874e-06,3709,0.02783868340838236,4.1454666310735664e-07
V300_Case4_CutFre20.xls,train,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case4_CutFre20.xls,train,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case4_CutFre20.xls,train,bursty,0.8,0,acceleration,m/s^2,3063,0.1429787644514029,0.19696567356008313,383,437.94395551464703,118.83054470627326
V300_Case4_CutFre20.xls,train,bursty,0.8,0,uplift,m,3063,2.40100329971171e-05,3.167002354966512e-05,383,0.07354273107016968,3.07215956958212e-06
V300_Case4_CutFre20.xls,train,bursty,0.6,0,acceleration,m/s^2,6125,0.14243282599373658,0.1945126765835341,766,872.4010592116365,231.74048577910457
V300_Case4_CutFre20.xls,train,bursty,0.6,0,uplift,m,6125,2.3430966451076957e-05,3.084356738825052e-05,766,0.14351466951284636,5.8268696015555005e-06
V300_Case5_CutFre20.xls,validation,random,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case5_CutFre20.xls,validation,random,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case5_CutFre20.xls,validation,random,0.8,0,acceleration,m/s^2,3063,0.016457971876934468,0.023291875863384104,2431,50.410767859050274,1.6617126670237086
V300_Case5_CutFre20.xls,validation,random,0.8,0,uplift,m,3063,2.479214484485263e-06,3.540372149992517e-06,2431,0.007593833965978361,3.83923616838358e-08
V300_Case5_CutFre20.xls,validation,random,0.6,0,acceleration,m/s^2,6125,0.02777467759077912,0.04519149179037361,3682,170.11990024352212,12.508909447716356
V300_Case5_CutFre20.xls,validation,random,0.6,0,uplift,m,6125,4.435875928433793e-06,7.70300102283178e-06,3682,0.027169740061656983,3.6343437664120305e-07
V300_Case5_CutFre20.xls,validation,bursty,1.0,0,acceleration,m/s^2,0,,,0,0.0,0.0
V300_Case5_CutFre20.xls,validation,bursty,1.0,0,uplift,m,0,,,0,0.0,0.0
V300_Case5_CutFre20.xls,validation,bursty,0.8,0,acceleration,m/s^2,3063,0.1496761638759964,0.19635537255605745,383,458.4580899521769,118.09528923177695
V300_Case5_CutFre20.xls,validation,bursty,0.8,0,uplift,m,3063,2.2648030089615702e-05,3.0269334115637183e-05,383,0.0693709161644929,2.8064204164438883e-06
V300_Case5_CutFre20.xls,validation,bursty,0.6,0,acceleration,m/s^2,6125,0.15815133819809105,0.2098911029760782,766,968.6769464633077,269.8324350396523
