speed_kmh,pattern,retention,seed,scope,intervals,mean_m,std_m,min_m,max_m,median_m
300,random,1.0,0,all_splits_CutFre20_trim10percent,112752,0.08333333333332374,4.81531814882212e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
300,random,0.8,0,all_splits_CutFre20_trim10percent,90199,0.10416966928678718,0.04672233947155973,0.08333333333325754,0.6666666666660603,0.08333333333337123
300,random,0.6,0,all_splits_CutFre20_trim10percent,67649,0.13889340566747352,0.08779915995086174,0.08333333333325754,1.083333333333826,0.08333333333337123
300,bursty,1.0,0,all_splits_CutFre20_trim10percent,112752,0.08333333333332374,4.81531814882212e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
300,bursty,0.8,0,all_splits_CutFre20_trim10percent,90199,0.10416966928678718,0.11598824586131021,0.08333333333325754,0.7500000000003411,0.08333333333334281
300,bursty,0.6,0,all_splits_CutFre20_trim10percent,67649,0.13889340566747355,0.18424229216560223,0.08333333333325754,0.7500000000003411,0.08333333333334281
350,random,1.0,0,all_splits_CutFre20_trim10percent,96647,0.09722222222218692,2.5177553034115226e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
350,random,0.8,0,all_splits_CutFre20_trim10percent,77315,0.12153186459429216,0.054370520966269056,0.0972222222221717,0.7777777777778283,0.0972222222221717
350,random,0.6,0,all_splits_CutFre20_trim10percent,57986,0.16204318475334908,0.10327004297248692,0.0972222222221717,1.1666666666660603,0.09722222222222854
350,bursty,1.0,0,all_splits_CutFre20_trim10percent,96647,0.09722222222218692,2.5177553034115226e-14,0.0972222222221717,0.09722222222228538,0.0972222222221717
350,bursty,0.8,0,all_splits_CutFre20_trim10percent,77315,0.12153186459429216,0.13529434541493188,0.0972222222221717,0.8750000000000568,0.0972222222221717
350,bursty,0.6,0,all_splits_CutFre20_trim10percent,57986,0.16204318475334906,0.2149449775856708,0.0972222222221717,0.8750000000000568,0.0972222222221717
380,random,1.0,0,all_splits_CutFre20_trim10percent,89016,0.10555555555559591,2.517582560483868e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
380,random,0.8,0,all_splits_CutFre20_trim10percent,71212,0.13194592671652144,0.059011326606829236,0.10555555555549745,0.738888888889278,0.10555555555561114
380,random,0.6,0,all_splits_CutFre20_trim10percent,53406,0.17593778476832053,0.11148074638394907,0.10555555555549745,1.2666666666666515,0.10555555555561114
380,bursty,1.0,0,all_splits_CutFre20_trim10percent,89016,0.10555555555559591,2.517582560483868e-14,0.10555555555549745,0.10555555555561114,0.10555555555561114
380,bursty,0.8,0,all_splits_CutFre20_trim10percent,71212,0.13194592671652144,0.14687998593113918,0.10555555555549745,0.9500000000005002,0.10555555555561114
380,bursty,0.6,0,all_splits_CutFre20_trim10percent,53406,0.17593778476832053,0.23335367397338977,0.10555555555549745,0.9500000000005002,0.10555555555561114
