file,split,speed_kmh,pattern,retention,seed,source_row_first,source_row_last,retained_rows,longest_missing_run_samples,intervals,mean_m,std_m,min_m,max_m,median_m
V300_Case1_CutFre20.xls,train,300,random,1.0,0,1740,15660,13921,0,13920,0.08333333333332474,4.7786595053522305e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case1_CutFre20.xls,train,300,random,0.8,0,1740,15660,11137,7,11136,0.10416666666665593,0.04713039725554688,0.08333333333325754,0.6666666666660603,0.08333333333337123
V300_Case1_CutFre20.xls,train,300,random,0.6,0,1740,15660,8353,12,8352,0.13888888888887457,0.08874509442068386,0.08333333333325754,1.083333333333826,0.08333333333337123
V300_Case1_CutFre20.xls,train,300,bursty,1.0,0,1740,15660,13921,0,13920,0.08333333333332474,4.7786595053522305e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case1_CutFre20.xls,train,300,bursty,0.8,0,1740,15660,11137,8,11136,0.10416666666665593,0.11599509089227963,0.08333333333325754,0.7500000000003411,0.08333333333334281
V300_Case1_CutFre20.xls,train,300,bursty,0.6,0,1740,15660,8353,8,8352,0.13888888888887457,0.1842569327975043,0.08333333333325754,0.7500000000003411,0.08333333333334281
V300_Case2_CutFre20.xls,train,300,random,1.0,0,1566,14094,12529,0,12528,0.0833333333333338,4.3302362371027985e-14,0.08333333333325754,0.08333333333337123,0.08333333333334281
V300_Case2_CutFre20.xls,train,300,random,0.8,0,1566,14094,10023,5,10022,0.10417082418678965,0.04628256270754221,0.08333333333325754,0.5000000000000568,0.08333333333337123
V300_Case2_CutFre20.xls,train,300,random,0.6,0,1566,14094,7517,9,7516,0.13890367216604654,0.08759175362202375,0.08333333333325754,0.8333333333325754,0.08333333333337123
V300_Case2_CutFre20.xls,train,300,bursty,1.0,0,1566,14094,12529,0,12528,0.0833333333333338,4.3302362371027985e-14,0.08333333333325754,0.08333333333337123,0.08333333333334281
V300_Case2_CutFre20.xls,train,300,bursty,0.8,0,1566,14094,10023,8,10022,0.10417082418678965,0.1159704466821554,0.08333333333325754,0.7500000000003411,0.08333333333337123
V300_Case2_CutFre20.xls,train,300,bursty,0.6,0,1566,14094,7517,8,7516,0.13890367216604654,0.1842391020386359,0.08333333333325754,0.7500000000003411,0.08333333333337123
V300_Case3_CutFre20.xls,train,300,random,1.0,0,1914,17226,15313,0,15312,0.08333333333331733,4.9955337870151207e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case3_CutFre20.xls,train,300,random,0.8,0,1914,17226,12250,6,12249,0.10417176912399011,0.04662884488932726,0.08333333333325754,0.5833333333335986,0.08333333333337123
V300_Case3_CutFre20.xls,train,300,random,0.6,0,1914,17226,9188,10,9187,0.1388919124850065,0.08742557463215195,0.08333333333325754,0.9166666666670835,0.08333333333337123
V300_Case3_CutFre20.xls,train,300,bursty,1.0,0,1914,17226,15313,0,15312,0.08333333333331733,4.9955337870151207e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case3_CutFre20.xls,train,300,bursty,0.8,0,1914,17226,12250,8,12249,0.10417176912399011,0.11599173049392889,0.08333333333325754,0.7500000000003411,0.08333333333331439
V300_Case3_CutFre20.xls,train,300,bursty,0.6,0,1914,17226,9188,8,9187,0.1388919124850065,0.184230721012784,0.08333333333325754,0.7500000000003411,0.08333333333331439
V300_Case4_CutFre20.xls,train,300,random,1.0,0,1914,17226,15313,0,15312,0.08333333333331733,4.9955337870151207e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case4_CutFre20.xls,train,300,random,0.8,0,1914,17226,12250,6,12249,0.10417176912399011,0.04634835433206695,0.08333333333325754,0.5833333333328028,0.08333333333337123
V300_Case4_CutFre20.xls,train,300,random,0.6,0,1914,17226,9188,10,9187,0.1388919124850065,0.0870616768775516,0.08333333333325754,0.9166666666670835,0.08333333333337123
V300_Case4_CutFre20.xls,train,300,bursty,1.0,0,1914,17226,15313,0,15312,0.08333333333331733,4.9955337870151207e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case4_CutFre20.xls,train,300,bursty,0.8,0,1914,17226,12250,8,12249,0.10417176912399011,0.11599173049392995,0.08333333333325754,0.7500000000003411,0.08333333333331439
V300_Case4_CutFre20.xls,train,300,bursty,0.6,0,1914,17226,9188,8,9187,0.1388919124850065,0.18423072101277915,0.08333333333325754,0.7500000000003411,0.08333333333331439
V300_Case5_CutFre20.xls,validation,300,random,1.0,0,1914,17226,15313,0,15312,0.08333333333331733,4.9955337870151207e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case5_CutFre20.xls,validation,300,random,0.8,0,1914,17226,12250,5,12249,0.10417176912399011,0.04685928813476063,0.08333333333325754,0.5000000000002274,0.08333333333337123
V300_Case5_CutFre20.xls,validation,300,random,0.6,0,1914,17226,9188,12,9187,0.1388919124850065,0.08743422040502699,0.08333333333325754,1.083333333333826,0.08333333333337123
V300_Case5_CutFre20.xls,validation,300,bursty,1.0,0,1914,17226,15313,0,15312,0.08333333333331733,4.9955337870151207e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case5_CutFre20.xls,validation,300,bursty,0.8,0,1914,17226,12250,8,12249,0.10417176912399011,0.11599173049392975,0.08333333333325754,0.7500000000003411,0.08333333333331439
V300_Case5_CutFre20.xls,validation,300,bursty,0.6,0,1914,17226,9188,8,9187,0.1388919124850065,0.18423072101278584,0.08333333333325754,0.7500000000003411,0.08333333333331439
V300_Case6_CutFre20.xls,validation,300,random,1.0,0,1740,15660,13921,0,13920,0.08333333333332474,4.7786595053522305e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case6_CutFre20.xls,validation,300,random,0.8,0,1740,15660,11137,5,11136,0.10416666666665593,0.04717007488058262,0.08333333333325754,0.5000000000002274,0.08333333333337123
V300_Case6_CutFre20.xls,validation,300,random,0.6,0,1740,15660,8353,10,8352,0.13888888888887455,0.08937062647265999,0.08333333333325754,0.9166666666670835,0.08333333333337123
V300_Case6_CutFre20.xls,validation,300,bursty,1.0,0,1740,15660,13921,0,13920,0.08333333333332474,4.7786595053522305e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case6_CutFre20.xls,validation,300,bursty,0.8,0,1740,15660,11137,8,11136,0.10416666666665593,0.11599509089227966,0.08333333333325754,0.7500000000003411,0.08333333333334281
V300_Case6_CutFre20.xls,validation,300,bursty,0.6,0,1740,15660,8353,8,8352,0.13888888888887457,0.18425693279750419,0.08333333333325754,0.7500000000003411,0.08333333333334281
V300_Case7_CutFre20.xls,test,300,random,1.0,0,1566,14094,12529,0,12528,0.0833333333333338,4.3302362371027985e-14,0.08333333333325754,0.08333333333337123,0.08333333333334281
V300_Case7_CutFre20.xls,test,300,random,0.8,0,1566,14094,10023,6,10022,0.10417082418678965,0.04677401342758751,0.08333333333325754,0.5833333333332007,0.08333333333337123
V300_Case7_CutFre20.xls,test,300,random,0.6,0,1566,14094,7517,10,7516,0.13890367216604654,0.08761284792695194,0.08333333333325754,0.9166666666664582,0.08333333333337123
V300_Case7_CutFre20.xls,test,300,bursty,1.0,0,1566,14094,12529,0,12528,0.0833333333333338,4.3302362371027985e-14,0.08333333333325754,0.08333333333337123,0.08333333333334281
V300_Case7_CutFre20.xls,test,300,bursty,0.8,0,1566,14094,10023,8,10022,0.10417082418678965,0.11597044668215233,0.08333333333325754,0.7500000000003411,0.08333333333337123
V300_Case7_CutFre20.xls,test,300,bursty,0.6,0,1566,14094,7517,8,7516,0.13890367216604654,0.18423910203863453,0.08333333333325754,0.7500000000003411,0.08333333333337123
V300_Case8_CutFre20.xls,test,300,random,1.0,0,1740,15660,13921,0,13920,0.08333333333332474,4.7786595053522305e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case8_CutFre20.xls,test,300,random,0.8,0,1740,15660,11137,6,11136,0.10416666666665593,0.04657136118507222,0.08333333333325754,0.5833333333335986,0.08333333333337123
V300_Case8_CutFre20.xls,test,300,random,0.6,0,1740,15660,8353,9,8352,0.13888888888887457,0.08723314229905182,0.08333333333325754,0.8333333333325754,0.08333333333337123
V300_Case8_CutFre20.xls,test,300,bursty,1.0,0,1740,15660,13921,0,13920,0.08333333333332474,4.7786595053522305e-14,0.08333333333325754,0.08333333333337123,0.08333333333331439
V300_Case8_CutFre20.xls,test,300,bursty,0.8,0,1740,15660,11137,8,11136,0.10416666666665593,0.11599509089228402,0.08333333333325754,0.7500000000003411,0.08333333333334281
V300_Case8_CutFre20.xls,test,300,bursty,0.6,0,1740,15660,8353,8,8352,0.13888888888887457,0.18425693279750144,0.08333333333325754,0.7500000000003411,0.08333333333334281
