,RNN,GRU,CNN_GRU,LSTM
0,13291.537109375,13121.728515625,13494.2939453125,13291.537109375
1,1350.4412841796875,1150.0299072265625,2133.654541015625,1350.4412841796875
2,395.671875,368.6572265625,429.97137451171875,395.671875
3,353.7633972167969,330.39910888671875,339.8371887207031,353.7633972167969
4,342.5236511230469,321.3207092285156,325.4129943847656,342.5236511230469
5,336.9547424316406,314.4602355957031,316.8012390136719,336.9547424316406
6,334.7908020019531,309.2038269042969,310.1171875,334.7908020019531
7,330.5010681152344,304.9696044921875,303.63421630859375,330.5010681152344
8,327.9142761230469,301.7152099609375,297.9742736816406,327.9142761230469
9,327.9301452636719,297.0909729003906,291.26031494140625,327.9301452636719
10,325.3435363769531,293.4478759765625,284.53399658203125,325.3435363769531
11,324.6665344238281,289.87652587890625,275.0572814941406,324.6665344238281
12,322.79791259765625,285.4397277832031,257.2232971191406,322.79791259765625
13,321.9385681152344,282.2350769042969,231.335205078125,321.9385681152344
14,320.26544189453125,279.7962341308594,213.54647827148438,320.26544189453125
15,318.6269836425781,276.5792541503906,201.43980407714844,318.6269836425781
16,317.8966064453125,273.5387878417969,194.9201202392578,317.8966064453125
17,317.2510681152344,271.6294860839844,187.41119384765625,317.2510681152344
18,318.4112854003906,268.5997619628906,182.8323516845703,318.4112854003906
19,315.5551452636719,265.1148986816406,180.236572265625,315.5551452636719
