,loss,val_loss
0,13121.728515625,1688.804443359375
1,1150.0299072265625,368.3536071777344
2,368.6572265625,326.64886474609375
3,330.39910888671875,417.01422119140625
4,321.3207092285156,332.8165588378906
5,314.4602355957031,364.1980285644531
6,309.2038269042969,348.5623474121094
7,304.9696044921875,315.6973571777344
8,301.7152099609375,360.1352233886719
9,297.0909729003906,311.5635681152344
10,293.4478759765625,337.17657470703125
11,289.87652587890625,310.4554443359375
12,285.4397277832031,311.4521789550781
13,282.2350769042969,319.0682373046875
14,279.7962341308594,338.4122009277344
15,276.5792541503906,317.1367492675781
16,273.5387878417969,359.5113220214844
17,271.6294860839844,331.87091064453125
18,268.5997619628906,304.820068359375
19,265.1148986816406,315.44677734375
