,loss,val_loss
0,13494.2939453125,1705.1529541015625
1,2133.654541015625,444.3820495605469
2,429.97137451171875,363.3178405761719
3,339.8371887207031,390.86187744140625
4,325.4129943847656,347.43414306640625
5,316.8012390136719,298.7497253417969
6,310.1171875,348.757568359375
7,303.63421630859375,334.5842590332031
8,297.9742736816406,337.9878845214844
9,291.26031494140625,306.69403076171875
10,284.53399658203125,295.1821594238281
11,275.0572814941406,277.79541015625
12,257.2232971191406,274.3441162109375
13,231.335205078125,275.225341796875
14,213.54647827148438,273.451416015625
15,201.43980407714844,218.8749542236328
16,194.9201202392578,273.1283874511719
17,187.41119384765625,185.2058563232422
18,182.8323516845703,240.6811981201172
19,180.236572265625,217.28517150878906
