,loss,val_loss
0,13217.11328125,1691.2706298828125
1,1243.0992431640625,384.7586669921875
2,386.7197570800781,359.8817443847656
3,339.9624938964844,297.7178955078125
4,327.9713439941406,329.57281494140625
5,320.4276123046875,333.2804870605469
6,315.05560302734375,335.2840881347656
7,311.5342712402344,367.2679748535156
8,307.9637451171875,326.2591552734375
9,304.584228515625,377.66473388671875
10,300.9159240722656,319.7049865722656
11,297.7992858886719,328.3503723144531
12,294.09771728515625,326.703125
13,291.44329833984375,330.9454040527344
14,289.0018005371094,325.5331726074219
15,286.1358947753906,370.5690002441406
16,284.43975830078125,310.9942321777344
17,282.3907165527344,348.7647705078125
18,280.7375793457031,342.52734375
19,278.6825256347656,352.4410705566406
