,loss,val_loss
0,13291.537109375,1692.994140625
1,1350.4412841796875,337.52587890625
2,395.671875,341.4410095214844
3,353.7633972167969,304.6723327636719
4,342.5236511230469,337.7301940917969
5,336.9547424316406,308.9435119628906
6,334.7908020019531,405.8920593261719
7,330.5010681152344,313.6531677246094
8,327.9142761230469,296.4084777832031
9,327.9301452636719,339.9412841796875
10,325.3435363769531,360.706298828125
11,324.6665344238281,426.2878723144531
12,322.79791259765625,334.2737121582031
13,321.9385681152344,388.7682800292969
14,320.26544189453125,389.3342590332031
15,318.6269836425781,308.4184875488281
16,317.8966064453125,326.28985595703125
17,317.2510681152344,430.0209045410156
18,318.4112854003906,403.1809387207031
19,315.5551452636719,365.56756591796875
