,loss,val_loss
0,12077.1923828125,1454.206787109375
1,1300.35986328125,394.9725646972656
2,338.84771728515625,351.57708740234375
3,301.01727294921875,354.2116394042969
4,292.3242492675781,336.5110778808594
5,286.8274841308594,340.9637451171875
6,279.8250732421875,331.4431457519531
7,269.67401123046875,286.3459777832031
8,239.31964111328125,247.7565155029297
9,202.5067901611328,202.04452514648438
10,185.1905975341797,193.9038848876953
11,177.32298278808594,187.86770629882812
12,169.97557067871094,178.79876708984375
13,165.69955444335938,187.94117736816406
14,161.0745391845703,196.9637451171875
15,161.02490234375,226.9342041015625
16,155.55712890625,210.09735107421875
17,153.9513397216797,186.7050323486328
18,153.52383422851562,281.2166442871094
19,150.71954345703125,214.18190002441406
