,loss,val_loss
0,12003.875,1439.5869140625
1,847.436279296875,374.27862548828125
2,326.44354248046875,351.6484375
3,303.5752868652344,347.8036804199219
4,295.67413330078125,358.5132751464844
5,292.7913818359375,356.8511657714844
6,288.3804626464844,367.87432861328125
7,284.79608154296875,337.7308044433594
8,280.2842712402344,358.8216552734375
9,276.7739562988281,388.2161865234375
10,272.8747863769531,341.41021728515625
11,270.47637939453125,343.7505187988281
12,267.2319030761719,352.9617919921875
13,263.9646911621094,343.990478515625
14,261.1733093261719,340.6297302246094
15,259.5428161621094,349.5881652832031
16,257.5017395019531,350.5497131347656
17,255.02182006835938,335.33148193359375
18,253.0464630126953,344.3628234863281
19,252.3269805908203,340.0616760253906
