,loss,val_loss
0,11809.314453125,1414.552490234375
1,836.2642211914062,380.64361572265625
2,323.723876953125,343.7838439941406
3,302.9253234863281,370.37109375
4,296.739501953125,349.9983215332031
5,293.0277404785156,347.29669189453125
6,290.56414794921875,339.1762390136719
7,287.60247802734375,336.46466064453125
8,285.80645751953125,337.36614990234375
9,283.5026550292969,342.44482421875
10,281.55694580078125,351.8555603027344
11,279.6543273925781,337.92193603515625
12,276.9591979980469,328.8258361816406
13,274.17828369140625,330.7891845703125
14,270.5047607421875,333.69610595703125
15,268.2095642089844,313.1199645996094
16,258.1537170410156,317.5518798828125
17,249.45660400390625,319.3382263183594
18,233.84512329101562,255.6598358154297
19,214.93008422851562,226.5364227294922
