,loss,val_loss
0,12502.84765625,1525.9356689453125
1,1501.3701171875,551.1980590820312
2,457.8547058105469,433.7036437988281
3,347.8432922363281,384.3299865722656
4,327.7799377441406,428.57147216796875
5,321.491455078125,379.06854248046875
6,314.7216796875,355.50146484375
7,309.1667175292969,390.49407958984375
8,304.4493713378906,374.525390625
9,307.6201171875,375.82574462890625
10,299.2284851074219,387.0868225097656
11,300.2357177734375,360.8162536621094
12,298.0733337402344,341.96044921875
13,296.1629638671875,342.8595886230469
14,294.5954284667969,341.0488586425781
15,294.02557373046875,383.98968505859375
16,295.851318359375,345.0596923828125
17,291.82647705078125,344.6219177246094
18,291.7386474609375,374.85040283203125
19,290.8464050292969,340.9220275878906
